date,n_articles,sentiment_mean,sentiment_std,neg_mean,neu_mean,pos_mean
2021-04-13,25,0.56464,0.4924593790354693,0.02948,0.9061199999999999,0.06436
2021-04-14,24,0.4989166666666667,0.5434710437201957,0.021541666666666667,0.8919166666666666,0.08650000000000001
2021-04-15,20,0.6219,0.5550988437348698,0.0182,0.8915,0.09025
2021-04-16,21,0.5211904761904762,0.5564094372894495,0.030142857142857145,0.8646666666666667,0.10509523809523809
2021-04-17,7,0.6334285714285715,0.48469641947059916,0.018714285714285715,0.8602857142857143,0.12114285714285714
2021-04-18,6,0.5491666666666667,0.52570730132524,0.035,0.8093333333333333,0.15583333333333335
2021-04-19,27,0.34281481481481485,0.6952409121491095,0.03888888888888889,0.8621481481481481,0.09907407407407406
2021-04-20,61,0.6352295081967213,0.49525274333558283,0.023950819672131148,0.8964426229508197,0.07955737704918033
2021-04-21,56,0.1821607142857143,0.6701127117348031,0.04580357142857143,0.8865357142857143,0.067625
2021-04-22,30,0.4972333333333333,0.5607023725424324,0.049499999999999995,0.8548333333333333,0.09566666666666666
2021-04-23,44,0.7212272727272727,0.3880281615071535,0.03368181818181818,0.8670681818181819,0.09925
2021-04-24,7,0.5605714285714286,0.42847398098478784,0.014571428571428572,0.8505714285714285,0.135
2021-04-25,11,0.19863636363636364,0.5695498701127536,0.027636363636363636,0.8919090909090909,0.08054545454545455
2021-04-26,51,0.48180392156862745,0.6279015534176626,0.03311764705882353,0.8808039215686274,0.08609803921568628
2021-04-27,50,0.50536,0.5789809753315892,0.0277,0.88936,0.08299999999999999
2021-04-28,85,0.6073647058823529,0.5131636898193593,0.026435294117647057,0.8745529411764706,0.09897647058823529
2021-04-29,100,0.5173,0.5067400166204012,0.03196,0.87664,0.09144999999999999
2021-04-30,61,0.21304918032786885,0.7060435167473629,0.06770491803278689,0.8585901639344262,0.07365573770491804
2021-05-01,65,0.3512461538461538,0.4860067846352954,0.023723076923076923,0.9102461538461538,0.06606153846153845
2021-05-02,14,0.16914285714285712,0.6185797451411589,0.04992857142857143,0.8834285714285715,0.06664285714285714
2021-05-03,50,0.45838,0.5491350857930858,0.04152,0.8627800000000001,0.09566000000000001
2021-05-04,33,0.43072727272727274,0.5523586511909219,0.043151515151515156,0.8684545454545454,0.08848484848484849
2021-05-05,28,0.6374642857142857,0.47855008500932683,0.03421428571428571,0.8555357142857142,0.11035714285714285
2021-05-06,28,0.6551071428571429,0.427023057690029,0.04217857142857143,0.8587857142857143,0.09896428571428571
2021-05-07,27,0.5023703703703704,0.5438834821588555,0.040407407407407406,0.8669259259259259,0.09266666666666667
2021-05-08,7,0.49114285714285716,0.39396845413959586,0.02,0.8667142857142858,0.11342857142857143
2021-05-09,5,0.9564,0.05697631086688571,0.0078,0.8594000000000002,0.13340000000000002
2021-05-10,18,0.6675,0.42456070722294487,0.02538888888888889,0.8496666666666667,0.125
2021-05-11,31,0.09229032258064515,0.7726952479707373,0.08812903225806452,0.8556129032258065,0.056225806451612896
2021-05-12,29,0.21210344827586206,0.6843437077557063,0.06279310344827586,0.8552413793103448,0.08206896551724138
2021-05-13,15,0.6705333333333333,0.3649514383872906,0.0274,0.8927999999999999,0.07993333333333334
2021-05-14,28,0.4594642857142857,0.6076118694219476,0.04625,0.8665714285714285,0.08735714285714287
2021-05-15,7,0.29957142857142854,0.6835200209559475,0.055714285714285716,0.8645714285714285,0.07942857142857142
2021-05-16,4,0.6525,0.6750370360209875,0.028749999999999998,0.89,0.08099999999999999
2021-05-17,44,0.4632045454545455,0.5254009578317176,0.04286363636363636,0.868090909090909,0.08906818181818182
2021-05-18,33,0.6422424242424242,0.4874452552789281,0.022727272727272728,0.883939393939394,0.09327272727272727
2021-05-19,32,0.42865625,0.5546703530970793,0.04075,0.87115625,0.08821875
2021-05-20,27,0.44888888888888895,0.5731580083747435,0.02588888888888889,0.8893703703703705,0.08466666666666667
2021-05-21,43,0.48258139534883726,0.5613291298574999,0.053651162790697676,0.8584651162790699,0.08788372093023256
2021-05-22,6,0.635,0.3927299326509249,0.0265,0.879,0.09433333333333334
2021-05-23,2,-0.046999999999999986,0.3521391770309007,0.061,0.9065000000000001,0.032
2021-05-24,31,0.49870967741935485,0.5597549579085708,0.027870967741935485,0.888483870967742,0.08370967741935484
2021-05-25,27,0.5839629629629629,0.5367612620352297,0.04666666666666667,0.840074074074074,0.1132962962962963
2021-05-26,27,0.6552962962962964,0.5636414445928175,0.038814814814814816,0.8543703703703704,0.1068888888888889
2021-05-27,17,0.8178823529411765,0.2627726874964703,0.021058823529411765,0.8371176470588235,0.1418235294117647
2021-05-28,36,0.5169444444444444,0.546920675598231,0.03744444444444445,0.8797777777777778,0.08261111111111112
2021-05-30,4,0.556,0.5197864946302472,0.03175,0.868,0.10025
2021-05-31,5,0.22880000000000003,1.0110715602765217,0.0344,0.8859999999999999,0.0796
2021-06-01,18,0.7427222222222222,0.48701078687843014,0.02938888888888889,0.8799444444444444,0.09088888888888888
2021-06-02,38,0.5938947368421053,0.5857835957524175,0.039473684210526314,0.857421052631579,0.10302631578947369
2021-06-03,15,0.712,0.43836384105313375,0.0292,0.8612666666666667,0.1098
2021-06-04,37,0.5247567567567568,0.5887274603095413,0.02983783783783784,0.868108108108108,0.10205405405405404
2021-06-05,4,0.84775,0.24251649428440947,0.00925,0.8375,0.15325
2021-06-06,7,0.38642857142857145,0.9012757360436107,0.06442857142857142,0.7761428571428571,0.15942857142857145
2021-06-07,69,0.6472173913043479,0.5102856428904828,0.028507246376811596,0.8721304347826087,0.09934782608695653
2021-06-08,38,0.6162105263157894,0.5266019142601156,0.03607894736842105,0.8678947368421052,0.09597368421052631
2021-06-09,27,0.814111111111111,0.3275364141039933,0.031629629629629626,0.8361481481481482,0.13211111111111112
2021-06-10,25,0.41768,0.6757248404491284,0.02484,0.8934799999999999,0.0818
